,sectors,industries,num_observations
3255,[np.float32(11.0)],[np.float32(62.0)],282
3256,[np.float32(11.0)],[np.float32(62.0)],579
3257,[np.float32(3.0)],[np.float32(60.0)],300
3259,[np.float32(7.0)],[np.float32(18.0)],744
3260,[np.float32(11.0)],[np.float32(64.0)],749
3261,[np.float32(8.0)],[np.float32(23.0)],252
3262,[np.float32(11.0)],[np.float32(64.0)],750
3263,[np.float32(6.0)],[np.float32(57.0)],90
3264,[np.float32(5.0)],[np.float32(32.0)],21
3265,[np.float32(8.0)],[np.float32(55.0)],321
3266,[np.float32(4.0)],[np.float32(14.0)],29
3267,[np.float32(5.0)],[np.float32(32.0)],56
3268,[np.float32(2.0)],[np.float32(46.0)],39
3269,[np.float32(11.0)],[np.float32(64.0)],236
3270,[np.float32(4.0)],[np.float32(10.0)],280
3271,[np.float32(11.0)],[np.float32(64.0)],21
3272,"[np.float32(4.0), np.float32(6.0)]","[np.float32(14.0), np.float32(22.0)]",413
3273,[np.float32(6.0)],[np.float32(53.0)],750
3275,[np.float32(11.0)],[np.float32(64.0)],526
3276,[np.float32(5.0)],[np.float32(32.0)],55
3277,[np.float32(4.0)],[np.float32(10.0)],747
3278,[np.float32(4.0)],[np.float32(31.0)],216
3279,[np.float32(11.0)],[np.float32(64.0)],569
3280,[np.float32(4.0)],[np.float32(10.0)],357
3281,[np.float32(8.0)],[np.float32(69.0)],598
3283,[np.float32(1.0)],[np.float32(48.0)],735
3284,"[np.float32(3.0), np.float32(5.0)]","[np.float32(7.0), np.float32(32.0)]",66
3285,[np.float32(8.0)],[np.float32(69.0)],64
3286,[np.float32(8.0)],[np.float32(25.0)],746
3287,[np.float32(8.0)],[np.float32(45.0)],747
3288,[np.float32(8.0)],[np.float32(11.0)],747
3289,"[np.float32(5.0), np.float32(7.0)]","[np.float32(18.0), np.float32(32.0)]",179
3290,[np.float32(12.0)],[np.float32(28.0)],123
3291,[np.float32(7.0)],[np.float32(38.0)],748
3292,[np.float32(1.0)],[np.float32(48.0)],550
3293,[np.float32(11.0)],[np.float32(64.0)],61
3294,[np.float32(4.0)],[np.float32(14.0)],31
3295,[np.float32(4.0)],[np.float32(10.0)],141
3297,"[np.float32(2.0), np.float32(3.0)]","[np.float32(24.0), np.float32(46.0)]",343
3298,[np.float32(3.0)],[np.float32(24.0)],37
3299,[np.float32(3.0)],[np.float32(24.0)],335
3300,[np.float32(11.0)],[np.float32(15.0)],59
3301,[np.float32(3.0)],[np.float32(24.0)],205
3302,[np.float32(11.0)],[np.float32(64.0)],271
3303,[np.float32(4.0)],[np.float32(14.0)],279
3304,[np.float32(3.0)],[np.float32(24.0)],92
3305,[np.float32(11.0)],[np.float32(64.0)],300
3306,[np.float32(7.0)],[np.float32(38.0)],188
3307,[np.float32(4.0)],[np.float32(30.0)],748
3308,"[np.float32(1.0), np.float32(8.0)]","[np.float32(12.0), np.float32(49.0)]",260
3309,[np.float32(3.0)],[np.float32(24.0)],702
3310,[np.float32(6.0)],[np.float32(22.0)],68
3311,[np.float32(11.0)],[np.float32(64.0)],746
3312,[np.float32(2.0)],[np.float32(39.0)],313
3313,[np.float32(4.0)],[np.float32(14.0)],749
3314,[np.float32(4.0)],[np.float32(10.0)],531
3315,[np.float32(3.0)],[np.float32(60.0)],290
3316,[np.float32(2.0)],[np.float32(39.0)],295
3317,[np.float32(8.0)],[np.float32(11.0)],747
3318,[np.float32(4.0)],[np.float32(31.0)],236
3319,[np.float32(4.0)],[np.float32(3.0)],112
3320,[np.float32(4.0)],[np.float32(56.0)],281
3322,"[np.float32(5.0), np.float32(11.0)]","[np.float32(32.0), np.float32(64.0)]",309
3323,[np.float32(4.0)],[np.float32(10.0)],744
3324,[np.float32(2.0)],[np.float32(39.0)],428
3325,[np.float32(1.0)],[np.float32(48.0)],748
3326,[np.float32(4.0)],[np.float32(26.0)],727
3327,[np.float32(11.0)],[np.float32(64.0)],259
3328,[np.float32(2.0)],[np.float32(66.0)],54
3329,[np.float32(4.0)],[np.float32(14.0)],736
3330,[np.float32(2.0)],[np.float32(39.0)],735
3331,[np.float32(2.0)],[np.float32(39.0)],751
3332,[np.float32(3.0)],[np.float32(60.0)],163
3333,[np.float32(4.0)],[np.float32(31.0)],293
3334,[np.float32(5.0)],[np.float32(32.0)],65
3335,[np.float32(7.0)],[np.float32(38.0)],613
3336,"[np.float32(4.0), np.float32(5.0)]","[np.float32(31.0), np.float32(32.0)]",240
3337,[np.float32(4.0)],[np.float32(10.0)],10
3338,"[np.float32(4.0), np.float32(5.0)]","[np.float32(30.0), np.float32(32.0)]",263
3339,[np.float32(11.0)],[np.float32(64.0)],257
3340,[np.float32(7.0)],[np.float32(38.0)],35
3341,[np.float32(4.0)],[np.float32(10.0)],264
3342,[np.float32(4.0)],[np.float32(10.0)],283
3343,[np.float32(5.0)],[np.float32(32.0)],41
3344,[np.float32(11.0)],[np.float32(64.0)],223
3345,[np.float32(12.0)],[np.float32(19.0)],638
3347,[np.float32(4.0)],[np.float32(10.0)],63
3348,[np.float32(5.0)],[np.float32(32.0)],29
3349,[np.float32(3.0)],[np.float32(6.0)],736
3351,[np.float32(11.0)],[np.float32(64.0)],381
3352,"[np.float32(2.0), np.float32(11.0)]","[np.float32(64.0), np.float32(66.0)]",123
3353,"[np.float32(4.0), np.float32(11.0)]","[np.float32(31.0), np.float32(64.0)]",561
3354,[np.float32(7.0)],[np.float32(18.0)],622
3355,"[np.float32(2.0), np.float32(7.0)]","[np.float32(39.0), np.float32(59.0)]",720
3356,[np.float32(4.0)],[np.float32(10.0)],267
3357,[np.float32(11.0)],[np.float32(64.0)],247
3358,[np.float32(5.0)],[np.float32(32.0)],37
3359,[np.float32(3.0)],[np.float32(7.0)],721
3360,[np.float32(4.0)],[np.float32(56.0)],349
3361,[np.float32(5.0)],[np.float32(32.0)],52
3362,[np.float32(4.0)],[np.float32(10.0)],36
3363,[np.float32(4.0)],[np.float32(31.0)],204
3364,[np.float32(6.0)],[np.float32(22.0)],152
3365,[np.float32(3.0)],[np.float32(6.0)],719
3366,"[np.float32(2.0), np.float32(3.0)]","[np.float32(5.0), np.float32(39.0)]",257
3367,[np.float32(6.0)],[np.float32(53.0)],317
3368,[np.float32(5.0)],[np.float32(32.0)],34
3369,[np.float32(5.0)],[np.float32(32.0)],33
3370,[np.float32(11.0)],[np.float32(64.0)],462
3371,[np.float32(5.0)],[np.float32(32.0)],220
3372,[np.float32(11.0)],[np.float32(64.0)],177
3373,[np.float32(11.0)],[np.float32(64.0)],489
3374,[np.float32(11.0)],[np.float32(64.0)],705
3375,[np.float32(7.0)],[np.float32(18.0)],29
3376,[np.float32(4.0)],[np.float32(31.0)],238
3378,[np.float32(11.0)],[np.float32(64.0)],146
3379,"[np.float32(3.0), np.float32(5.0)]","[np.float32(6.0), np.float32(32.0)]",624
3380,[np.float32(4.0)],[np.float32(56.0)],33
3381,[np.float32(11.0)],[np.float32(64.0)],704
3382,[np.float32(6.0)],[np.float32(53.0)],657
3384,[np.float32(11.0)],[np.float32(64.0)],697
3385,[np.float32(11.0)],[np.float32(15.0)],269
3386,[np.float32(4.0)],[np.float32(56.0)],327
3387,[np.float32(8.0)],[np.float32(21.0)],691
3388,[np.float32(11.0)],[np.float32(64.0)],691
3389,[np.float32(2.0)],[np.float32(66.0)],68
3390,[np.float32(11.0)],[np.float32(64.0)],687
3391,[np.float32(11.0)],[np.float32(64.0)],94
3392,[np.float32(4.0)],[np.float32(30.0)],47
3393,[np.float32(3.0)],[np.float32(60.0)],693
3395,[np.float32(11.0)],[np.float32(64.0)],51
3396,[np.float32(7.0)],[np.float32(59.0)],43
3397,"[np.float32(5.0), np.float32(8.0)]","[np.float32(2.0), np.float32(32.0)]",155
3398,[np.float32(2.0)],[np.float32(39.0)],275
3399,[np.float32(5.0)],[np.float32(32.0)],25
3400,"[np.float32(5.0), np.float32(6.0)]","[np.float32(22.0), np.float32(32.0)]",587
3401,[np.float32(6.0)],[np.float32(22.0)],680
3402,[np.float32(7.0)],[np.float32(8.0)],24
3403,[np.float32(3.0)],[np.float32(60.0)],148
3404,[np.float32(4.0)],[np.float32(30.0)],55
3405,[np.float32(5.0)],[np.float32(32.0)],6
3407,"[np.float32(4.0), np.float32(7.0)]","[np.float32(14.0), np.float32(18.0)]",276
3408,[np.float32(4.0)],[np.float32(10.0)],103
3409,[np.float32(7.0)],[np.float32(59.0)],202
3410,[np.float32(11.0)],[np.float32(64.0)],35
3411,[np.float32(4.0)],[np.float32(10.0)],102
3412,[np.float32(11.0)],[np.float32(15.0)],148
3413,[np.float32(6.0)],[np.float32(53.0)],600
3414,[np.float32(11.0)],[np.float32(64.0)],151
3415,[np.float32(11.0)],[np.float32(62.0)],330
3416,"[np.float32(2.0), np.float32(3.0)]","[np.float32(17.0), np.float32(39.0), np.float32(60.0)]",670
3417,[np.float32(4.0)],[np.float32(10.0)],165
3418,"[np.float32(2.0), np.float32(7.0)]","[np.float32(18.0), np.float32(39.0)]",314
3419,[np.float32(8.0)],[np.float32(2.0)],390
3420,[np.float32(4.0)],[np.float32(56.0)],640
3421,[np.float32(11.0)],[np.float32(15.0)],68
3422,[np.float32(2.0)],[np.float32(39.0)],66
3423,[np.float32(3.0)],[np.float32(60.0)],302
3424,[np.float32(4.0)],[np.float32(10.0)],635
3425,[np.float32(6.0)],[np.float32(53.0)],632
3426,[np.float32(4.0)],[np.float32(31.0)],110
3427,[np.float32(4.0)],[np.float32(31.0)],67
3428,[np.float32(4.0)],[np.float32(14.0)],94
3429,[np.float32(11.0)],[np.float32(64.0)],656
3430,[np.float32(2.0)],[np.float32(39.0)],193
3431,[np.float32(3.0)],[np.float32(7.0)],160
3432,[np.float32(8.0)],[np.float32(2.0)],257
3433,[np.float32(4.0)],[np.float32(16.0)],497
3434,"[np.float32(5.0), np.float32(7.0)]","[np.float32(18.0), np.float32(32.0)]",648
3435,[np.float32(5.0)],[np.float32(32.0)],57
3437,[np.float32(5.0)],[np.float32(32.0)],11
3438,[np.float32(8.0)],[np.float32(47.0)],25
3440,[np.float32(11.0)],[np.float32(64.0)],607
3441,[np.float32(2.0)],[np.float32(39.0)],644
3442,[np.float32(11.0)],[np.float32(64.0)],287
3444,[np.float32(2.0)],[np.float32(39.0)],645
3445,[np.float32(8.0)],[np.float32(45.0)],144
3446,[np.float32(4.0)],[np.float32(14.0)],44
3447,[np.float32(4.0)],[np.float32(56.0)],328
3448,[np.float32(4.0)],[np.float32(10.0)],169
3450,[np.float32(7.0)],[np.float32(18.0)],567
3451,[np.float32(6.0)],[np.float32(22.0)],126
3452,[np.float32(7.0)],[np.float32(18.0)],641
3453,[np.float32(2.0)],[np.float32(39.0)],113
3454,[np.float32(8.0)],[np.float32(2.0)],104
3455,[np.float32(11.0)],[np.float32(64.0)],348
3456,[np.float32(8.0)],[np.float32(21.0)],467
3457,[np.float32(4.0)],[np.float32(14.0)],622
3458,[np.float32(2.0)],[np.float32(39.0)],186
3459,[np.float32(3.0)],[np.float32(60.0)],545
3460,[np.float32(4.0)],[np.float32(14.0)],76
3461,[np.float32(11.0)],[np.float32(64.0)],330
3462,[np.float32(4.0)],[np.float32(3.0)],87
3463,[np.float32(11.0)],[np.float32(62.0)],67
3464,[np.float32(6.0)],[np.float32(22.0)],615
3465,[np.float32(8.0)],[np.float32(45.0)],58
3466,[np.float32(4.0)],[np.float32(30.0)],67
3467,[np.float32(11.0)],[np.float32(64.0)],365
3468,[np.float32(8.0)],[np.float32(69.0)],558
3469,[np.float32(7.0)],[np.float32(18.0)],37
3471,[np.float32(1.0)],[np.float32(27.0)],254
3472,[np.float32(11.0)],[np.float32(64.0)],192
3473,[np.float32(11.0)],[np.float32(64.0)],16
3474,[np.float32(1.0)],[np.float32(12.0)],77
3475,[np.float32(4.0)],[np.float32(10.0)],41
3476,[np.float32(7.0)],[np.float32(40.0)],20
3477,[np.float32(6.0)],[np.float32(53.0)],603
3478,[np.float32(4.0)],[np.float32(30.0)],7
3479,[np.float32(2.0)],[np.float32(39.0)],602
3480,"[np.float32(4.0), np.float32(11.0)]","[np.float32(31.0), np.float32(64.0)]",310
3482,[np.float32(4.0)],[np.float32(10.0)],31
3483,[np.float32(6.0)],[np.float32(53.0)],603
3484,[np.float32(2.0)],[np.float32(39.0)],11
3485,[np.float32(6.0)],[np.float32(53.0)],592
3486,[np.float32(11.0)],[np.float32(64.0)],95
3487,[np.float32(3.0)],[np.float32(17.0)],437
3488,[np.float32(8.0)],[np.float32(45.0)],143
3489,[np.float32(11.0)],[np.float32(64.0)],585
3490,[np.float32(2.0)],[np.float32(39.0)],576
3491,[np.float32(8.0)],[np.float32(11.0)],460
3493,[np.float32(4.0)],"[np.float32(10.0), np.float32(56.0)]",199
3494,[np.float32(11.0)],[np.float32(64.0)],175
3495,[np.float32(11.0)],[np.float32(64.0)],41
3496,[np.float32(11.0)],[np.float32(64.0)],204
3497,[np.float32(11.0)],[np.float32(64.0)],574
3498,[np.float32(2.0)],[np.float32(39.0)],29
3499,[np.float32(3.0)],[np.float32(6.0)],91
3500,[np.float32(3.0)],[np.float32(60.0)],10
3501,[np.float32(4.0)],[np.float32(10.0)],18
3503,[np.float32(2.0)],[np.float32(46.0)],58
3504,[np.float32(4.0)],[np.float32(14.0)],273
3505,[np.float32(4.0)],[np.float32(14.0)],42
3506,[np.float32(7.0)],[np.float32(59.0)],83
3507,[np.float32(3.0)],[np.float32(4.0)],129
3508,"[np.float32(2.0), np.float32(5.0)]","[np.float32(32.0), np.float32(39.0)]",120
3509,[np.float32(7.0)],[np.float32(18.0)],562
3510,[np.float32(4.0)],[np.float32(31.0)],554
3511,[np.float32(11.0)],[np.float32(64.0)],559
3512,[np.float32(3.0)],[np.float32(6.0)],254
3513,[np.float32(4.0)],[np.float32(10.0)],152
3514,[np.float32(4.0)],[np.float32(31.0)],100
3515,[np.float32(11.0)],[np.float32(64.0)],429
3516,[np.float32(3.0)],[np.float32(24.0)],67
3517,[np.float32(11.0)],[np.float32(62.0)],556
3518,[np.float32(11.0)],[np.float32(64.0)],548
3519,[np.float32(11.0)],[np.float32(15.0)],107
3520,"[np.float32(2.0), np.float32(5.0)]","[np.float32(32.0), np.float32(66.0)]",61
3521,[np.float32(3.0)],[np.float32(42.0)],135
3522,[np.float32(2.0)],[np.float32(46.0)],547
3523,[np.float32(11.0)],[np.float32(64.0)],319
3524,[np.float32(6.0)],[np.float32(53.0)],446
3525,[np.float32(2.0)],[np.float32(66.0)],514
3526,[np.float32(3.0)],[np.float32(7.0)],49
3527,[np.float32(11.0)],[np.float32(64.0)],541
3528,[np.float32(4.0)],[np.float32(56.0)],537
3530,[np.float32(6.0)],[np.float32(53.0)],89
3531,[np.float32(1.0)],[np.float32(48.0)],417
3532,[np.float32(5.0)],[np.float32(32.0)],150
3533,[np.float32(2.0)],[np.float32(39.0)],80
3534,[np.float32(11.0)],[np.float32(15.0)],536
3535,[np.float32(4.0)],[np.float32(9.0)],112
3536,[np.float32(11.0)],[np.float32(64.0)],536
3537,[np.float32(2.0)],[np.float32(39.0)],167
3538,"[np.float32(4.0), np.float32(7.0)]","[np.float32(14.0), np.float32(18.0)]",421
3539,[np.float32(4.0)],[np.float32(14.0)],30
3540,[np.float32(2.0)],[np.float32(39.0)],461
3541,[np.float32(3.0)],[np.float32(7.0)],26
3542,[np.float32(6.0)],"[np.float32(53.0), np.float32(54.0)]",353
3543,[np.float32(4.0)],[np.float32(14.0)],440
3545,"[np.float32(2.0), np.float32(4.0)]","[np.float32(14.0), np.float32(39.0)]",401
3546,[np.float32(11.0)],[np.float32(64.0)],521
3548,[np.float32(2.0)],[np.float32(39.0)],519
3549,[np.float32(3.0)],[np.float32(7.0)],16
3551,[np.float32(11.0)],[np.float32(15.0)],116
3552,[np.float32(2.0)],[np.float32(39.0)],68
3553,[np.float32(4.0)],[np.float32(14.0)],106
3554,[np.float32(6.0)],[np.float32(53.0)],83
3555,[np.float32(4.0)],[np.float32(10.0)],106
3556,[np.float32(6.0)],[np.float32(57.0)],515
3557,"[np.float32(2.0), np.float32(8.0)]","[np.float32(39.0), np.float32(69.0)]",510
3558,[np.float32(2.0)],[np.float32(39.0)],23
3559,[np.float32(11.0)],[np.float32(64.0)],509
3560,[np.float32(11.0)],[np.float32(64.0)],507
3561,[np.float32(4.0)],[np.float32(14.0)],56
3562,[np.float32(11.0)],[np.float32(64.0)],63
3563,[np.float32(8.0)],[np.float32(69.0)],24
3565,[np.float32(11.0)],[np.float32(64.0)],22
3566,[np.float32(11.0)],[np.float32(64.0)],506
3567,[np.float32(8.0)],[np.float32(47.0)],199
3568,[np.float32(11.0)],[np.float32(64.0)],437
3569,[np.float32(4.0)],[np.float32(26.0)],78
3570,"[np.float32(4.0), np.float32(11.0)]","[np.float32(14.0), np.float32(64.0)]",353
3572,[np.float32(6.0)],[np.float32(22.0)],148
3573,[np.float32(3.0)],[np.float32(60.0)],493
3574,"[np.float32(4.0), np.float32(8.0)]","[np.float32(14.0), np.float32(69.0)]",493
3575,[np.float32(7.0)],[np.float32(38.0)],373
3576,[np.float32(3.0)],[np.float32(17.0)],229
3577,[np.float32(3.0)],[np.float32(42.0)],29
3578,[np.float32(11.0)],[np.float32(64.0)],489
3580,[np.float32(2.0)],[np.float32(39.0)],477
3581,[np.float32(4.0)],[np.float32(10.0)],50
3583,[np.float32(4.0)],[np.float32(10.0)],27
3584,[np.float32(7.0)],[np.float32(38.0)],462
3585,[np.float32(1.0)],[np.float32(48.0)],272
3586,[np.float32(3.0)],[np.float32(60.0)],451
3587,[np.float32(4.0)],[np.float32(10.0)],1
3588,[np.float32(3.0)],[np.float32(5.0)],452
3590,[np.float32(11.0)],[np.float32(64.0)],83
3591,[np.float32(11.0)],[np.float32(64.0)],403
3592,[np.float32(4.0)],[np.float32(14.0)],447
3594,[np.float32(4.0)],[np.float32(14.0)],80
3595,[np.float32(1.0)],[np.float32(27.0)],86
3596,[np.float32(3.0)],[np.float32(83.0)],68
3597,[np.float32(11.0)],[np.float32(64.0)],8
3598,[np.float32(11.0)],[np.float32(64.0)],61
3599,[np.float32(3.0)],[np.float32(60.0)],106
3600,[np.float32(5.0)],[np.float32(32.0)],150
3601,"[np.float32(3.0), np.float32(4.0)]","[np.float32(16.0), np.float32(60.0)]",194
3602,[np.float32(4.0)],[np.float32(10.0)],158
3603,[np.float32(4.0)],[np.float32(14.0)],38
3606,[np.float32(1.0)],[np.float32(12.0)],51
3607,[np.float32(11.0)],[np.float32(64.0)],71
3608,[np.float32(11.0)],[np.float32(64.0)],433
3610,[np.float32(1.0)],[np.float32(41.0)],31
3611,[np.float32(4.0)],[np.float32(10.0)],147
3612,[np.float32(11.0)],[np.float32(15.0)],421
3614,[np.float32(7.0)],[np.float32(40.0)],67
3615,[np.float32(6.0)],[np.float32(22.0)],265
3616,[np.float32(11.0)],[np.float32(62.0)],423
3618,[np.float32(4.0)],[np.float32(14.0)],413
3619,[np.float32(3.0)],[np.float32(6.0)],414
3620,[np.float32(11.0)],[np.float32(64.0)],260
3622,[np.float32(3.0)],[np.float32(60.0)],221
3624,[np.float32(8.0)],[np.float32(25.0)],28
3626,[np.float32(11.0)],[np.float32(64.0)],393
3627,[np.float32(7.0)],[np.float32(8.0)],156
3629,[np.float32(11.0)],[np.float32(64.0)],240
3630,[np.float32(3.0)],[np.float32(60.0)],39
3631,[np.float32(7.0)],[np.float32(18.0)],379
3632,[np.float32(4.0)],[np.float32(56.0)],310
3633,[np.float32(11.0)],[np.float32(64.0)],119
3635,[np.float32(12.0)],[np.float32(19.0)],364
3636,[np.float32(2.0)],[np.float32(66.0)],216
3637,[np.float32(6.0)],[np.float32(53.0)],359
3638,[np.float32(4.0)],[np.float32(10.0)],93
3639,[np.float32(6.0)],[np.float32(53.0)],345
3640,[np.float32(4.0)],[np.float32(56.0)],321
3641,[np.float32(4.0)],[np.float32(56.0)],11
3642,[np.float32(1.0)],[np.float32(48.0)],40
3643,[np.float32(6.0)],[np.float32(53.0)],330
3645,[np.float32(2.0)],[np.float32(46.0)],315
3647,"[np.float32(2.0), np.float32(7.0)]","[np.float32(18.0), np.float32(66.0)]",104
3649,[np.float32(3.0)],[np.float32(24.0)],294
3650,[np.float32(11.0)],[np.float32(64.0)],286
3651,"[np.float32(8.0), np.float32(11.0)]","[np.float32(15.0), np.float32(45.0)]",203
3652,[np.float32(4.0)],[np.float32(30.0)],277
3654,[np.float32(2.0)],[np.float32(66.0)],269
3655,[np.float32(4.0)],[np.float32(14.0)],258
3656,[np.float32(4.0)],[np.float32(16.0)],228
3658,[np.float32(8.0)],[np.float32(23.0)],215
3659,[np.float32(7.0)],[np.float32(38.0)],192
3660,[np.float32(4.0)],[np.float32(10.0)],74
3661,[np.float32(6.0)],[np.float32(53.0)],192
3663,[np.float32(6.0)],[np.float32(53.0)],110
3664,[np.float32(3.0)],[np.float32(7.0)],174
3666,[np.float32(7.0)],[np.float32(18.0)],160
3667,[np.float32(11.0)],[np.float32(64.0)],162
3668,[np.float32(7.0)],[np.float32(18.0)],142
3669,[np.float32(4.0)],[np.float32(30.0)],139
3670,[np.float32(4.0)],[np.float32(10.0)],52
3671,[np.float32(8.0)],[np.float32(21.0)],102
3672,[np.float32(1.0)],[np.float32(12.0)],88
3673,[np.float32(8.0)],[np.float32(45.0)],11
3675,[np.float32(4.0)],[np.float32(16.0)],43
3676,[np.float32(8.0)],[np.float32(11.0)],29
3678,[np.float32(3.0)],[np.float32(60.0)],15
3679,[np.float32(4.0)],[np.float32(31.0)],14
