,sectors,industries,num_observations
2144,[np.float32(2.0)],[np.float32(39.0)],32
2146,[np.float32(11.0)],[np.float32(64.0)],496
2147,[np.float32(1.0)],[np.float32(12.0)],750
2148,[np.float32(11.0)],[np.float32(62.0)],146
2149,[np.float32(3.0)],[np.float32(24.0)],745
2151,[np.float32(6.0)],[np.float32(22.0)],733
2153,[np.float32(4.0)],[np.float32(14.0)],233
2154,[np.float32(7.0)],[np.float32(38.0)],750
2158,[np.float32(7.0)],[np.float32(18.0)],748
2163,[np.float32(8.0)],[np.float32(49.0)],283
2164,[np.float32(3.0)],[np.float32(6.0)],750
2165,[np.float32(8.0)],"[np.float32(2.0), np.float32(44.0)]",748
2166,[np.float32(7.0)],[np.float32(58.0)],748
2169,[np.float32(12.0)],[np.float32(19.0)],385
2170,[np.float32(4.0)],[np.float32(14.0)],152
2171,[np.float32(11.0)],[np.float32(64.0)],702
2174,[np.float32(11.0)],[np.float32(62.0)],751
2175,[np.float32(2.0)],[np.float32(39.0)],112
2176,[np.float32(11.0)],[np.float32(64.0)],67
2178,[np.float32(3.0)],[np.float32(7.0)],750
2179,[np.float32(1.0)],[np.float32(12.0)],255
2181,[np.float32(1.0)],[np.float32(12.0)],749
2182,[np.float32(8.0)],[np.float32(11.0)],64
2183,[np.float32(4.0)],[np.float32(14.0)],497
2187,[np.float32(4.0)],"[np.float32(10.0), np.float32(30.0)]",725
2190,[np.float32(7.0)],[np.float32(59.0)],455
2193,[np.float32(11.0)],[np.float32(62.0)],72
2194,[np.float32(4.0)],[np.float32(14.0)],750
2196,[np.float32(3.0)],[np.float32(6.0)],748
2197,[np.float32(7.0)],[np.float32(18.0)],750
2198,[np.float32(4.0)],[np.float32(56.0)],69
2200,[np.float32(6.0)],[np.float32(57.0)],748
2203,[np.float32(7.0)],[np.float32(8.0)],550
2204,[np.float32(8.0)],[np.float32(21.0)],36
2205,[np.float32(1.0)],[np.float32(27.0)],26
2206,[np.float32(4.0)],[np.float32(14.0)],749
2207,[np.float32(7.0)],[np.float32(8.0)],134
2208,[np.float32(8.0)],[np.float32(69.0)],746
2211,[np.float32(7.0)],[np.float32(8.0)],629
2213,[np.float32(4.0)],[np.float32(56.0)],682
2216,[np.float32(6.0)],[np.float32(22.0)],250
2218,[np.float32(6.0)],[np.float32(57.0)],745
2219,[np.float32(4.0)],[np.float32(31.0)],751
2220,[np.float32(11.0)],[np.float32(62.0)],34
2221,[np.float32(11.0)],[np.float32(64.0)],64
2222,[np.float32(8.0)],[np.float32(63.0)],750
2223,[np.float32(7.0)],"[np.float32(18.0), np.float32(58.0)]",217
2226,[np.float32(7.0)],[np.float32(18.0)],672
2227,[np.float32(2.0)],[np.float32(39.0)],283
2230,[np.float32(6.0)],[np.float32(53.0)],445
2232,[np.float32(2.0)],[np.float32(39.0)],287
2234,[np.float32(3.0)],[np.float32(4.0)],662
2237,[np.float32(6.0)],[np.float32(53.0)],735
2239,[np.float32(2.0)],[np.float32(46.0)],185
2244,[np.float32(11.0)],[np.float32(64.0)],748
2245,[np.float32(8.0)],[np.float32(11.0)],740
2246,[np.float32(1.0)],[np.float32(48.0)],751
2248,[np.float32(7.0)],[np.float32(61.0)],20
2250,[np.float32(1.0)],[np.float32(48.0)],155
2253,[np.float32(6.0)],[np.float32(53.0)],299
2255,[np.float32(4.0)],"[np.float32(10.0), np.float32(56.0)]",685
2257,[np.float32(7.0)],[np.float32(38.0)],204
2260,[np.float32(2.0)],[np.float32(39.0)],190
2263,[np.float32(7.0)],[np.float32(8.0)],750
2266,[np.float32(6.0)],[np.float32(22.0)],714
2271,[np.float32(7.0)],[np.float32(61.0)],53
2272,[np.float32(2.0)],[np.float32(39.0)],689
2274,[np.float32(8.0)],[np.float32(45.0)],751
2275,[np.float32(2.0)],[np.float32(66.0)],346
2277,[np.float32(4.0)],[np.float32(31.0)],748
2278,[np.float32(2.0)],[np.float32(39.0)],319
2279,[np.float32(3.0)],[np.float32(24.0)],749
2282,[np.float32(4.0)],[np.float32(56.0)],155
2285,[np.float32(3.0)],[np.float32(7.0)],750
2288,[np.float32(2.0)],[np.float32(39.0)],750
2292,[np.float32(3.0)],[np.float32(5.0)],746
2293,[np.float32(6.0)],[np.float32(53.0)],681
2294,[np.float32(11.0)],[np.float32(64.0)],338
2298,[np.float32(6.0)],[np.float32(22.0)],358
2299,[np.float32(11.0)],[np.float32(64.0)],748
2300,[np.float32(4.0)],[np.float32(26.0)],735
2302,[np.float32(6.0)],[np.float32(54.0)],71
2304,[np.float32(6.0)],[np.float32(53.0)],750
2306,[np.float32(4.0)],[np.float32(10.0)],445
2308,[np.float32(11.0)],[np.float32(15.0)],751
2309,[np.float32(8.0)],[np.float32(23.0)],47
2310,[np.float32(8.0)],[np.float32(47.0)],273
2313,[np.float32(2.0)],[np.float32(39.0)],686
2315,[np.float32(3.0)],[np.float32(7.0)],747
2317,[np.float32(11.0)],[np.float32(62.0)],743
2323,[np.float32(2.0)],[np.float32(39.0)],745
2324,[np.float32(11.0)],[np.float32(15.0)],13
2325,[np.float32(8.0)],"[np.float32(11.0), np.float32(45.0), np.float32(47.0)]",734
2326,[np.float32(6.0)],[np.float32(22.0)],750
2328,[np.float32(6.0)],[np.float32(57.0)],744
2331,[np.float32(6.0)],[np.float32(53.0)],749
2332,[np.float32(11.0)],[np.float32(64.0)],751
2334,[np.float32(2.0)],[np.float32(39.0)],119
2337,[np.float32(7.0)],[np.float32(58.0)],748
2340,[np.float32(8.0)],[np.float32(11.0)],67
2342,[np.float32(2.0)],[np.float32(39.0)],750
2343,[np.float32(4.0)],[np.float32(10.0)],39
2345,[np.float32(8.0)],[np.float32(69.0)],731
2349,[np.float32(11.0)],[np.float32(64.0)],751
2350,[np.float32(3.0)],[np.float32(60.0)],20
2351,[np.float32(3.0)],[np.float32(60.0)],750
2352,[np.float32(2.0)],[np.float32(39.0)],751
2353,[np.float32(4.0)],[np.float32(30.0)],748
2354,[np.float32(3.0)],[np.float32(60.0)],748
2356,[np.float32(3.0)],[np.float32(24.0)],218
2361,[np.float32(11.0)],[np.float32(15.0)],746
2364,[np.float32(8.0)],[np.float32(55.0)],748
2366,[np.float32(11.0)],[np.float32(62.0)],750
2367,[np.float32(4.0)],[np.float32(10.0)],119
2369,[np.float32(7.0)],[np.float32(59.0)],278
2370,[np.float32(2.0)],[np.float32(39.0)],626
2371,[np.float32(6.0)],[np.float32(53.0)],749
2373,[np.float32(11.0)],[np.float32(64.0)],751
2376,[np.float32(3.0)],[np.float32(60.0)],751
2377,[np.float32(4.0)],[np.float32(10.0)],27
2378,[np.float32(2.0)],[np.float32(39.0)],469
2379,[np.float32(11.0)],[np.float32(15.0)],320
2380,[np.float32(4.0)],[np.float32(56.0)],750
2381,[np.float32(4.0)],[np.float32(10.0)],417
2382,[np.float32(6.0)],[np.float32(53.0)],750
2385,[np.float32(4.0)],[np.float32(10.0)],469
2387,[np.float32(3.0)],[np.float32(42.0)],746
2389,[np.float32(4.0)],[np.float32(14.0)],751
2390,[np.float32(4.0)],[np.float32(10.0)],82
2391,[np.float32(3.0)],[np.float32(33.0)],663
2392,[np.float32(4.0)],[np.float32(56.0)],751
2393,[np.float32(2.0)],[np.float32(66.0)],737
2394,[np.float32(8.0)],[np.float32(11.0)],481
2395,[np.float32(11.0)],[np.float32(15.0)],61
2398,"[np.float32(6.0), np.float32(8.0)]","[np.float32(25.0), np.float32(53.0)]",308
2399,[np.float32(7.0)],[np.float32(18.0)],532
2400,[np.float32(6.0)],[np.float32(53.0)],435
2405,[np.float32(2.0)],[np.float32(1.0)],61
2408,[np.float32(3.0)],[np.float32(60.0)],37
2409,[np.float32(3.0)],[np.float32(33.0)],745
2415,[np.float32(3.0)],[np.float32(24.0)],749
2419,[np.float32(4.0)],[np.float32(56.0)],54
2421,[np.float32(7.0)],"[np.float32(18.0), np.float32(38.0)]",748
2423,[np.float32(4.0)],[np.float32(31.0)],750
2425,[np.float32(7.0)],[np.float32(8.0)],117
2429,[np.float32(1.0)],[np.float32(48.0)],96
2432,[np.float32(4.0)],[np.float32(10.0)],606
2435,[np.float32(11.0)],[np.float32(64.0)],655
2436,[np.float32(4.0)],[np.float32(16.0)],736
2438,[np.float32(4.0)],[np.float32(10.0)],431
2439,[np.float32(2.0)],[np.float32(46.0)],745
2440,[np.float32(2.0)],[np.float32(46.0)],70
2441,[np.float32(4.0)],[np.float32(10.0)],638
2442,[np.float32(2.0)],[np.float32(66.0)],184
2443,[np.float32(4.0)],[np.float32(10.0)],53
2445,[np.float32(4.0)],[np.float32(30.0)],315
2446,[np.float32(2.0)],[np.float32(39.0)],750
2449,[np.float32(4.0)],[np.float32(10.0)],750
2453,[np.float32(4.0)],[np.float32(56.0)],289
2454,[np.float32(4.0)],[np.float32(26.0)],744
2456,[np.float32(3.0)],[np.float32(7.0)],751
2460,[np.float32(6.0)],[np.float32(54.0)],18
2463,"[np.float32(3.0), np.float32(6.0)]","[np.float32(53.0), np.float32(60.0)]",751
2465,[np.float32(1.0)],[np.float32(48.0)],11
2466,[np.float32(11.0)],[np.float32(15.0)],748
2468,[np.float32(4.0)],[np.float32(10.0)],11
2469,[np.float32(4.0)],[np.float32(10.0)],199
2470,[np.float32(2.0)],[np.float32(39.0)],410
2474,[np.float32(4.0)],[np.float32(10.0)],398
2475,[np.float32(8.0)],[np.float32(21.0)],98
2476,[np.float32(4.0)],[np.float32(56.0)],461
2478,[np.float32(11.0)],[np.float32(64.0)],749
2479,[np.float32(8.0)],[np.float32(45.0)],741
2480,[np.float32(4.0)],[np.float32(10.0)],553
2481,[np.float32(3.0)],[np.float32(60.0)],751
2482,[np.float32(6.0)],[np.float32(53.0)],747
2483,[np.float32(4.0)],[np.float32(10.0)],82
2484,[np.float32(7.0)],[np.float32(18.0)],731
2485,[np.float32(6.0)],[np.float32(57.0)],630
2486,[np.float32(11.0)],[np.float32(64.0)],751
2490,[np.float32(2.0)],[np.float32(66.0)],603
2492,[np.float32(4.0)],[np.float32(10.0)],262
2493,[np.float32(2.0)],[np.float32(39.0)],106
2495,[np.float32(4.0)],[np.float32(10.0)],581
2496,[np.float32(7.0)],[np.float32(38.0)],616
2498,[np.float32(8.0)],[np.float32(45.0)],141
2500,[np.float32(3.0)],[np.float32(60.0)],28
2502,[np.float32(4.0)],[np.float32(10.0)],156
2503,[np.float32(2.0)],[np.float32(39.0)],751
2504,[np.float32(3.0)],[np.float32(33.0)],750
2505,[np.float32(2.0)],[np.float32(39.0)],329
2506,[np.float32(7.0)],[np.float32(38.0)],27
2508,[np.float32(4.0)],[np.float32(14.0)],747
2510,[np.float32(2.0)],[np.float32(46.0)],17
2511,[np.float32(4.0)],[np.float32(30.0)],749
2514,[np.float32(8.0)],[np.float32(21.0)],751
2516,"[np.float32(2.0), np.float32(4.0)]","[np.float32(14.0), np.float32(66.0)]",33
2518,[np.float32(3.0)],[np.float32(4.0)],744
2519,[np.float32(2.0)],[np.float32(39.0)],515
